"","member","name","category","classification"
"1","Dorea longicatena","ACE (Enzyme) inhibitor","Medication","Species"
"2","Bacteroides dorei","Administered Ciprofloxacin","Medication","Mixed"
"3","Akkermansia municiphilia","Administered Ciprofloxacin","Medication","Mixed"
"4","Roseburia","Administered Ciprofloxacin","Medication","Mixed"
"5","Bacteroidetes S24_7","Administered Low Dose Penicillium (increase)","Medication","Mixed"
"6","Anaeroplasma","Administered Low Dose Penicillium (increase)","Medication","Mixed"
"7","Coprobacillus","Administered Low Dose Penicillium (increase)","Medication","Mixed"
"8","Ruminococcaceae","Administered Low Dose Penicillium (increase)","Medication","Mixed"
"9","Oscillospira","Administered Low Dose Penicillium (increase)","Medication","Mixed"
"10","Ruminococcus","Administered Low Dose Penicillium (increase)","Medication","Mixed"
"11","Lactobacillus","Administered Low Dose Penicillium (decrease)","Medication","Mixed"
"12","Prevotella","Administered Low Dose Penicillium (decrease)","Medication","Mixed"
"13","F16","Administered Low Dose Penicillium (decrease)","Medication","Mixed"
"14","Clostridiaceae_02d06","Administered Low Dose Penicillium (decrease)","Medication","Mixed"
"15","CandidatusArthromitus","Administered Low Dose Penicillium (decrease)","Medication","Mixed"
"16","Allobaculum","Administered Low Dose Penicillium (decrease)","Medication","Mixed"
"17","Bacteroides eggerthii","Alpha blockers","Medication","Species"
"18","Dialister invisus","Alpha blockers","Medication","Species"
"19","Clostridium bolteae","Alpha blockers","Medication","Species"
"20","Barnesiella intestinihominis","Anti histamine adjusted","Medication","Species"
"21","Barnesiella intestinihominis","Anti-androgen oral contraceptive","Medication","Species"
"22","Bifidobacterium adolescentis","Anti-androgen oral contraceptive","Medication","Species"
"23","Bifidobacterium longum","Anti-androgen oral contraceptive","Medication","Species"
"24","Bifidobacterium bifidum","Anti-epileptics","Medication","Species"
"25","Barnesiella intestinihominis","Anti-histamine","Medication","Species"
"26","Bifidobacterium bifidum","Antibiotics merged","Medication","Species"
"27","Bifidobacterium dentium","Antibiotics merged","Medication","Species"
"28","Bifidobacterium longum","Antibiotics merged","Medication","Species"
"29","Bifidobacterium adolescentis","Antibiotics merged adjusted","Medication","Species"
"30","Bifidobacterium longum","Antibiotics merged adjusted","Medication","Species"
"31","Streptococcus mutans","Benzodiazepine derivatives related","Medication","Species"
"32","Streptococcus parasanguinis","Benzodiazepine derivatives related","Medication","Species"
"33","Streptococcus parasanguinis","Beta blockers","Medication","Species"
"34","Eggerthella unclassified","Betampathomimetic inhaler","Medication","Species"
"35","Eubacterium eligens","Betampathomimetic inhaler","Medication","Species"
"36","Lachnospiraceae bacterium 1 4 56FAA","Betampathomimetic inhaler","Medication","Species"
"37","Streptococcus thermophilus","BioMK BetaDefensin2 adjusted","Medication","Species"
"38","Streptococcus australis","BioMK BetaDefensin2 adjusted","Medication","Species"
"39","Streptococcus anginosus","BioMK Calprotectin adjusted","Medication","Species"
"40","Streptococcus vestibularis","BioMK Calprotectin adjusted","Medication","Species"
"41","Escherichiali","BioMK Calprotectin adjusted","Medication","Species"
"42","Streptococcus mutans","BioMK Calprotectin adjusted","Medication","Species"
"43","Streptococcus parasanguinis","BioMK Calprotectin adjusted","Medication","Species"
"44","Streptococcuslivarius","BioMK Calprotectin adjusted","Medication","Species"
"45","Bifidobacterium dentium","BioMK Calprotectin adjusted","Medication","Species"
"46","Rothia mucilaginosa","BioMK Calprotectin adjusted","Medication","Species"
"47","Veillonella parvula","BioMK Calprotectin adjusted","Medication","Species"
"48","Streptococcus australis","BioMK Calprotectin adjusted","Medication","Species"
"49","Escherichia unclassified","BioMK Calprotectin adjusted","Medication","Species"
"50","Streptococcusnguinis","BioMK Calprotectin adjusted","Medication","Species"
"51","Haemophilus parainfluenzae","BioMK Calprotectin adjusted","Medication","Species"
"52","Veillonella unclassified","BioMK Calprotectin adjusted","Medication","Species"
"53","Methanobrevibacterithii","BioMK ChromograninA adjusted","Medication","Species"
"54","Alistipesnegalensis","BioMK ChromograninA adjusted","Medication","Species"
"55","Bacteroidales bacterium ph8","BioMK ChromograninA adjusted","Medication","Species"
"56","Ruminococcusavus","BioMK ChromograninA adjusted","Medication","Species"
"57","Eubacteriumraeum","BioMK ChromograninA adjusted","Medication","Species"
"58","Alistipesahii","BioMK ChromograninA adjusted","Medication","Species"
"59","Eggerthella unclassified","BioMK ChromograninA adjusted","Medication","Species"
"60","Methanobrevibacter unclassified","BioMK ChromograninA adjusted","Medication","Species"
"61","Akkermansia muciniphila","BioMK ChromograninA adjusted","Medication","Species"
"62","Desulfovibrio piger","BioMK ChromograninA adjusted","Medication","Species"
"63","Alistipes indistinctus","BioMK ChromograninA adjusted","Medication","Species"
"64","Subdoligranulum unclassified","BioMK ChromograninA adjusted","Medication","Species"
"65","Paraprevotella unclassified","BioMK ChromograninA adjusted","Medication","Species"
"66","Eubacterium eligens","BioMK ChromograninA adjusted","Medication","Species"
"67","Alistipes putredinis","BioMK ChromograninA adjusted","Medication","Species"
"68","Paraprevotellaara","BioMK ChromograninA adjusted","Medication","Species"
"69","Parabacteroidesldsteinii","BioMK ChromograninA adjusted","Medication","Species"
"70","Barnesiella intestinihominis","BioMK ChromograninA adjusted","Medication","Species"
"71","Bacteroidesccae","BioMK ChromograninA adjusted","Medication","Species"
"72","Lachnospiraceae bacterium 1 4 56FAA","BioMK ChromograninA adjusted","Medication","Species"
"73","Olsenella unclassified","BioMK ChromograninA adjusted","Medication","Species"
"74","Anaerotruncus unclassified","BioMK ChromograninA adjusted","Medication","Species"
"75","Bifidobacterium longum","BioMK ChromograninA adjusted","Medication","Species"
"76","Bilophila unclassified","BioMK ChromograninA adjusted","Medication","Species"
"77","Roseburia hominis","BioMK ChromograninA adjusted","Medication","Species"
"78","Gordonibacter pamelaeae","BioMK ChromograninA adjusted","Medication","Species"
"79","Streptococcus thermophilus","BioMK ChromograninA adjusted","Medication","Species"
"80","Lachnospiraceae bacterium 7 1 58FAA","BioMK ChromograninA adjusted","Medication","Species"
"81","Streptococcusnguinis","BioMK ChromograninA adjusted","Medication","Species"
"82","Parabacteroides distasonis","BioMK ChromograninA adjusted","Medication","Species"
"83","Butyrivibrioossotus","BioMK ChromograninA adjusted","Medication","Species"
"84","Streptococcus parasanguinis","BioMK ChromograninA adjusted","Medication","Species"
"85","Eggerthella lenta","BioMK ChromograninA adjusted","Medication","Species"
"86","Odoribacterlanchnicus","BioMK ChromograninA adjusted","Medication","Species"
"87","Lachnospiraceae bacterium 2 1 58FAA","BioMK ChromograninA adjusted","Medication","Species"
"88","Bacteroidesllulosilyticus","BioMK ChromograninA adjusted","Medication","Species"
"89","Parabacteroides unclassified","BioMK ChromograninA adjusted","Medication","Species"
"90","Bacteroides uniformis","BioMK ChromograninA adjusted","Medication","Species"
"91","Phascolarctobacteriumccinatutens","BioMK ChromograninA adjusted","Medication","Species"
"92","Clostridium L2 50","BioMK ChromograninA adjusted","Medication","Species"
"93","Bacteroides eggerthii","BioMK ChromograninA adjusted","Medication","Species"
"94","Coprococcustus","BioMK ChromograninA adjusted","Medication","Species"
"95","Eubacterium rectale","BioMK ChromograninA adjusted","Medication","Species"
"96","Bacteroides thetaiotaomicron","BioMK ChromograninA adjusted","Medication","Species"
"97","Ruminococcus bromii","BioMK ChromograninA adjusted","Medication","Species"
"98","Eubacterium biforme","BioMK ChromograninA adjusted","Medication","Species"
"99","Mitsuokella unclassified","BioMK ChromograninA adjusted","Medication","Species"
"100","Bacteroides plebeius","BioMK ChromograninA adjusted","Medication","Species"
"101","Collinsella aerofaciens","BioMK ChromograninA adjusted","Medication","Species"
"102","Bacteroides intestinalis","BioMK ChromograninA adjusted","Medication","Species"
"103","Catenibacterium mitsuokai","BioMK ChromograninA adjusted","Medication","Species"
"104","Coprobacillus unclassified","BioMK ChromograninA adjusted","Medication","Species"
"105","Bacteroides vulgatus","BioMK ChromograninA adjusted","Medication","Species"
"106","Prevotellapri","BioMK ChromograninA adjusted","Medication","Species"
"107","Streptococcuslivarius","BioMK ChromograninA adjusted","Medication","Species"
"108","Lactobacillus delbrueckii","BioMK ChromograninA adjusted","Medication","Species"
"109","Bacteroideslyersiae","BioMK ChromograninA adjusted","Medication","Species"
"110","Dialister invisus","BioMK ChromograninA adjusted","Medication","Species"
"111","Parabacteroides johnsonii","BioMK ChromograninA adjusted","Medication","Species"
"112","Ruminococcus torques","BioMK ChromograninA adjusted","Medication","Species"
"113","Alistipesnegoldii","BioMK ChromograninA adjusted","Medication","Species"
"114","Streptococcus anginosus","Bisphosphonates adjusted","Medication","Species"
"115","Bifidobacterium adolescentis","Breads","Diet Signature","Species"
"116","Bifidobacteriumtenulatum","Breads","Diet Signature","Species"
"117","Mitsuokella unclassified","Breads","Diet Signature","Species"
"118","Eubacterium eligens","Breakfast","Diet Signature","Species"
"119","Leuconostoc mesenteroides","Buttermilk","Diet Signature","Species"
"120","Lactococcus lactis","Buttermilk","Diet Signature","Species"
"121","Leuconostoc mesenteroides","Buttermilk adjusted","Diet Signature","Species"
"122","Lactococcus lactis","Buttermilk adjusted","Diet Signature","Species"
"123","Bifidobacterium adolescentis","Calcium","Diet Signature","Species"
"124","Bifidobacterium adolescentis","Carbohydrates.total","Diet Signature","Species"
"125","Bifidobacteriumtenulatum","Carbohydrates.total","Diet Signature","Species"
"126","Lactobacilluskei","Carbohydrates.total","Diet Signature","Species"
"127","Streptococcus australis","Carbohydrates.total","Diet Signature","Species"
"128","Roseburia hominis","Carbohydrates.total","Diet Signature","Species"
"129","Lactobacilluskei","Cereals","Diet Signature","Species"
"130","Ruminococcus torques","Cereals","Diet Signature","Species"
"131","Lachnospiraceae bacterium 8 1 57FAA","Cereals","Diet Signature","Species"
"132","Veillonella parvula","Cereals","Diet Signature","Species"
"133","Veillonella unclassified","Cereals","Diet Signature","Species"
"134","Haemophilus parainfluenzae","Cereals","Diet Signature","Species"
"135","Streptococcus thermophilus","Chocomilk sweetened milk drinks","Diet Signature","Species"
"136","Clostridium leptum","Chocomilk sweetened milk drinks","Diet Signature","Species"
"137","Eggerthella unclassified","Coffee","Diet Signature","Species"
"138","Lachnospiraceae bacterium 7 1 58FAA","Coffee","Diet Signature","Species"
"139","Oscillibacter unclassified","Coffee","Diet Signature","Species"
"140","Eubacterium biforme","Coffee","Diet Signature","Species"
"141","Dialister invisus","Coffee","Diet Signature","Species"
"142","Veillonella parvula","Coffee","Diet Signature","Species"
"143","Veillonella unclassified","Coffee","Diet Signature","Species"
"144","Haemophilus parainfluenzae","Coffee","Diet Signature","Species"
"145","Bifidobacterium animalis","Dairy","Diet Signature","Species"
"146","Lactobacillus delbrueckii","Dairy","Diet Signature","Species"
"147","Streptococcus thermophilus","Dairy","Diet Signature","Species"
"148","Clostridium bartlettii","Dairy","Diet Signature","Species"
"149","Eggerthella lenta","Decrease in Digoxin bioavailability and efficacy","Medication","Species"
"150","Helicobacter pylori","Decrease in Levodopa bioavailability and activity","Medication","Species"
"151","Alistipes","Delayed Skin Graft Rejection","Medication","Genus"
"152","Ruminococcus torques","Eggs","Diet Signature","Species"
"153","Lachnospiraceae bacterium 8 1 57FAA","Eggs","Diet Signature","Species"
"154","Streptococcus parasanguinis","Ferrum","Diet Signature","Species"
"155","Butyrivibrioossotus","Ferrum","Diet Signature","Species"
"156","Butyrivibrioossotus","Ferrum adjusted","Diet Signature","Species"
"157","Coprobacillus unclassified","Folic acid","Diet Signature","Species"
"158","Bacteroides intestinalis","Folic acid adjusted","Diet Signature","Species"
"159","Eubacterium hallii","Fruits","Diet Signature","Species"
"160","Ruminococcus torques","Fruits","Diet Signature","Species"
"161","Veillonella parvula","Fruits","Diet Signature","Species"
"162","Veillonella unclassified","Fruits","Diet Signature","Species"
"163","Haemophilus parainfluenzae","Fruits","Diet Signature","Species"
"164","Barnesiella intestinihominis","Fruits","Diet Signature","Species"
"165","Alistipesahii","Fruits","Diet Signature","Species"
"166","Eubacterium eligens","Fruits","Diet Signature","Species"
"167","Coprococcustus","Fruits","Diet Signature","Species"
"168","Lachnospiraceae bacterium 8 1 57FAA","Fruits","Diet Signature","Species"
"169","Roseburia hominis","Fruits","Diet Signature","Species"
"170","Eubacterium hallii","Fruits adjusted","Diet Signature","Species"
"171","Veillonella parvula","Fruits adjusted","Diet Signature","Species"
"172","Eubacterium eligens","Fruits adjusted","Diet Signature","Species"
"173","Bifidobacterium longum","Gluten-free diet","Diet Signature","Species"
"174","Eubacterium ramulus","Half-fat milk","Diet Signature","Species"
"175","Parabacteroides","High Fat Diet (increase)","Diet Signature","Mixed"
"176","Parabacteroidesrdonii","High Fat Diet (increase)","Diet Signature","Mixed"
"177","Coriobacteriaceae","High Fat Diet (increase)","Diet Signature","Mixed"
"178","Bifidobacterium","High Fat Diet (increase)","Diet Signature","Mixed"
"179","Bilophila","High Fat Diet (increase)","Diet Signature","Mixed"
"180","Allobaculum","High Fat Diet (increase)","Diet Signature","Mixed"
"181","Erysipelotrichaceae","High Fat Diet (increase)","Diet Signature","Mixed"
"182","Mogibacteriaceae","High Fat Diet (increase)","Diet Signature","Mixed"
"183","Ruminococcus","High Fat Diet (increase)","Diet Signature","Mixed"
"184","Oscillospira","High Fat Diet (increase)","Diet Signature","Mixed"
"185","Ruminococcaceae","High Fat Diet (increase)","Diet Signature","Mixed"
"186","Dorea","High Fat Diet (increase)","Diet Signature","Mixed"
"187","Clostridiales","High Fat Diet (increase)","Diet Signature","Mixed"
"188","Lactococcus","High Fat Diet (increase)","Diet Signature","Mixed"
"189","Akkemansia mucinphila","High Fat Diet (decrease)","Diet Signature","Mixed"
"190","Prevotella","High Fat Diet (decrease)","Diet Signature","Mixed"
"191","S24_7","High Fat Diet (decrease)","Diet Signature","Mixed"
"192","Lactobacillus vaginalis","High Fat Diet (decrease)","Diet Signature","Mixed"
"193","Lactobacillus reuteri","High Fat Diet (decrease)","Diet Signature","Mixed"
"194","Propionibacteriaceae","Human Breast Milk-Fed (increase)","Diet Signature","Mixed"
"195","Propionibacterium","Human Breast Milk-Fed (increase)","Diet Signature","Mixed"
"196","Pantonea","Human Breast Milk-Fed (increase)","Diet Signature","Mixed"
"197","Finegoldia","Human Breast Milk-Fed (increase)","Diet Signature","Mixed"
"198","Serratia","Human Breast Milk-Fed (increase)","Diet Signature","Mixed"
"199","Acinetobacter","Human Breast Milk-Fed (increase)","Diet Signature","Mixed"
"200","Pseudomonadales","Human Breast Milk-Fed (increase)","Diet Signature","Mixed"
"201","Pseudomonas","Human Breast Milk-Fed (increase)","Diet Signature","Mixed"
"202","Moraxellaceae","Human Breast Milk-Fed (increase)","Diet Signature","Mixed"
"203","Clostridiaceae","Human Breast Milk-Fed (increase)","Diet Signature","Mixed"
"204","Clostridium","Human Breast Milk-Fed (increase)","Diet Signature","Mixed"
"205","Klebsiella","Human Breast Milk-Fed (increase)","Diet Signature","Mixed"
"206","Proteobacteriaceae","Human Breast Milk-Fed (increase)","Diet Signature","Mixed"
"207","Enterobacteriaceae","Human Breast Milk-Fed (increase)","Diet Signature","Mixed"
"208","Enterobacteriales;","Human Breast Milk-Fed (increase)","Diet Signature","Mixed"
"209","Firmicutes","Human Breast Milk-Fed (decrease)","Diet Signature","Mixed"
"210","Peptostreptococcaceae","Human Breast Milk-Fed (decrease)","Diet Signature","Mixed"
"211","Unclassified Clostridiaceae","Human Breast Milk-Fed (decrease)","Diet Signature","Mixed"
"212","Hydrogenophaga","Human Breast Milk-Fed (decrease)","Diet Signature","Mixed"
"213","Paenibacillus","Human Breast Milk-Fed (decrease)","Diet Signature","Mixed"
"214","Epulopiscium","Human Breast Milk-Fed (decrease)","Diet Signature","Mixed"
"215","Paenibacillaceae","Human Breast Milk-Fed (decrease)","Diet Signature","Mixed"
"216","Delftia","Human Breast Milk-Fed (decrease)","Diet Signature","Mixed"
"217","Citrobacter;","Human Breast Milk-Fed (decrease)","Diet Signature","Mixed"
"218","Escherichiali Nissle 1917","Increase in Amiodarone drug bioavailability","Medication","Strain"
"219","Clostridiumorogenes, Bifidobacterium bifidum, Bacteroides vulgatus, Escherichiali, Salmonella typhimurium, Pseudomonasuorescens, Lactobacillus rhamnosus, Streptococcusecalis","Increase in metabolism Zonisamide","Medication","Species"
"220","Roseburia","Increase uptake whole-grain (increase)","Diet Signature","Mixed"
"221","Bifidobacterium","Increase uptake whole-grain (increase)","Diet Signature","Mixed"
"222","Dialister","Increase uptake whole-grain (increase)","Diet Signature","Mixed"
"223","Blautia","Increase uptake whole-grain (increase)","Diet Signature","Mixed"
"224","Eubacterium rectale","Increase uptake whole-grain (increase)","Diet Signature","Mixed"
"225","Roseburiaecis","Increase uptake whole-grain (increase)","Diet Signature","Mixed"
"226","Roseburia intestinalis","Increase uptake whole-grain (increase)","Diet Signature","Mixed"
"227","Odoribacter","Increase uptake whole-grain (decrease)","Diet Signature","Mixed"
"228","Bacteroides","Innoculation Caesarean Section born infants using vaginal fluids","Medication","Genus"
"229","Lactobacillus","Innoculation Caesarean Section born infants using vaginal fluids","Medication","Genus"
"230","Bifidobacteriumtenulatum","kcal","Diet Signature","Species"
"231","Bacteroidesatus","kcal","Diet Signature","Species"
"232","Bacteroidesercoris","Laxatives","Medication","Species"
"233","Bacteroidales bacterium ph8","Laxatives","Medication","Species"
"234","Odoribacterlanchnicus","Laxatives","Medication","Species"
"235","Alistipes AP11","Laxatives","Medication","Species"
"236","Clostridium bolteae","Laxatives","Medication","Species"
"237","Coprococcustus","Laxatives","Medication","Species"
"238","Coprococcusmes","Laxatives","Medication","Species"
"239","Alistipes AP11","Laxatives adjusted","Medication","Species"
"240","Bacteroidales bacterium ph8","Laxatives adjusted","Medication","Species"
"241","Clostridium leptum","Legumes","Diet Signature","Species"
"242","Bifidobacterium adolescentis","Low-carb diet","Diet Signature","Species"
"243","Lactococcus lactis","Low-carb diet","Diet Signature","Species"
"244","Streptococcus australis","Low-carb diet","Diet Signature","Species"
"245","Eubacterium hallii","Low-carb diet","Diet Signature","Species"
"246","Anaerostipes hadrus","Low-carb diet","Diet Signature","Species"
"247","Streptococcus mutans","Lownatrium","Diet Signature","Species"
"248","Veillonella atypica","Marathon runners","4.3 â€“ Lifestyle","Species"
"249","Lactococcus lactis","Meat","Diet Signature","Species"
"250","Roseburia hominis","Meat","Diet Signature","Species"
"251","C2likevirus unclassified","Meat","Diet Signature","Species"
"252","Ruminococcus lactaris","Meat adjusted","Diet Signature","Species"
"253","Parabacteroidesldsteinii","Mesalazines adjusted","Medication","Species"
"254","Bacteroides dorei","Metformin","Medication","Species"
"255","Coprococcusmes","Metformin","Medication","Species"
"256","Dorearmicigenerans","Metformin","Medication","Species"
"257","Dorea longicatena","Metformin","Medication","Species"
"258","Clostridium bartlettii","Metformin","Medication","Species"
"259","Peptostreptococcaceae noname unclassified","Metformin","Medication","Species"
"260","Escherichiali","Metformin","Medication","Species"
"261","Acinetobacter baumannii TCDC-AB0715","Metformin user 6 months (increase)","Medication","Strain"
"262","Acinetobacter haemolyticus ATCC 19194","Metformin user 6 months (increase)","Medication","Strain"
"263","Actinomycesleocanis DSM 15436","Metformin user 6 months (increase)","Medication","Strain"
"264","Actinomyces.al taxon 170r. F0386","Metformin user 6 months (increase)","Medication","Strain"
"265","Aeromonasviae Ae398","Metformin user 6 months (increase)","Medication","Strain"
"266","Bacillusreus SJ1","Metformin user 6 months (increase)","Medication","Strain"
"267","Bacillusahuilensis m4-4","Metformin user 6 months (increase)","Medication","Strain"
"268","Bacteroidesarus YIT 12056","Metformin user 6 months (increase)","Medication","Strain"
"269","Bifidobacterium bifidum NCIMB 41171","Metformin user 6 months (increase)","Medication","Strain"
"270","Bifidobacterium dentium ATCC 27679","Metformin user 6 months (increase)","Medication","Strain"
"271","Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200","Metformin user 6 months (increase)","Medication","Strain"
"272","Brachyspira pilosicoli 95/1000","Metformin user 6 months (increase)","Medication","Strain"
"273","Capnocytophagangivalis ATCC 33624","Metformin user 6 months (increase)","Medication","Strain"
"274","Citrobacter koseri ATCC BAA-895","Metformin user 6 months (increase)","Medication","Strain"
"275","Citrobacter rodentium ICC168","Metformin user 6 months (increase)","Medication","Strain"
"276","Citrobacter. 30_2","Metformin user 6 months (increase)","Medication","Strain"
"277","Citrobacter youngae ATCC 29220","Metformin user 6 months (increase)","Medication","Strain"
"278","Clostridiumariflavum DSM 19732","Metformin user 6 months (increase)","Medication","Strain"
"279","Collinsella aerofaciens ATCC 25986","Metformin user 6 months (increase)","Medication","Strain"
"280","Collinsella intestinalis DSM 13280","Metformin user 6 months (increase)","Medication","Strain"
"281","Collinsellaercoris DSM 13279","Metformin user 6 months (increase)","Medication","Strain"
"282","Coriobacteriumomerans PW2","Metformin user 6 months (increase)","Medication","Strain"
"283","Corynebacterium jeikeium ATCC 43734","Metformin user 6 months (increase)","Medication","Strain"
"284","Corynebacterium lipophiloflavum DSM 44291","Metformin user 6 months (increase)","Medication","Strain"
"285","Corynebacterium pseudogenitalium ATCC 33035","Metformin user 6 months (increase)","Medication","Strain"
"286","Corynebacterium resistens DSM 45100","Metformin user 6 months (increase)","Medication","Strain"
"287","Corynebacteriumriatum ATCC 6940","Metformin user 6 months (increase)","Medication","Strain"
"288","Cronobacter turicensis z3032","Metformin user 6 months (increase)","Medication","Strain"
"289","Dermacoccus. Ellin185","Metformin user 6 months (increase)","Medication","Strain"
"290","Desulfotalea psychrophila LSv54","Metformin user 6 months (increase)","Medication","Strain"
"291","Desulfovibrio alaskensis G20","Metformin user 6 months (increase)","Medication","Strain"
"292","Desulfurispirillum indicum S5","Metformin user 6 months (increase)","Medication","Strain"
"293","Dickeya dadantii 3937","Metformin user 6 months (increase)","Medication","Strain"
"294","Dickeya dadantii Ech586","Metformin user 6 months (increase)","Medication","Strain"
"295","Dickeya dadantii Ech703","Metformin user 6 months (increase)","Medication","Strain"
"296","Dickeya zeae Ech1591","Metformin user 6 months (increase)","Medication","Strain"
"297","Edwardsiella ictaluri 93-146","Metformin user 6 months (increase)","Medication","Strain"
"298","Enterobacter aerogenes KCTC 2190","Metformin user 6 months (increase)","Medication","Strain"
"299","Enterobacter asburiae LF7a","Metformin user 6 months (increase)","Medication","Strain"
"300","Enterobacterncerogenus ATCC 35316","Metformin user 6 months (increase)","Medication","Strain"
"301","Enterobacteroacae EcWSU1","Metformin user 6 months (increase)","Medication","Strain"
"302","Enterobacteroacaebsp.oacae ATCC 13047","Metformin user 6 months (increase)","Medication","Strain"
"303","Enterobacteroacaebsp.oacae NCTC 9394","Metformin user 6 months (increase)","Medication","Strain"
"304","Enterobacter lignolyticus SCF1","Metformin user 6 months (increase)","Medication","Strain"
"305","Enterobacter. 638","Metformin user 6 months (increase)","Medication","Strain"
"306","Enterococcussseliflavus EC10","Metformin user 6 months (increase)","Medication","Strain"
"307","Erwinia amylovora ATCC 49946","Metformin user 6 months (increase)","Medication","Strain"
"308","Erwinia billingiae Eb661","Metformin user 6 months (increase)","Medication","Strain"
"309","Erwinia tasmaniensis Et1/99","Metformin user 6 months (increase)","Medication","Strain"
"310","Escherichia albertii TW07627","Metformin user 6 months (increase)","Medication","Strain"
"311","Escherichiali TW10509","Metformin user 6 months (increase)","Medication","Strain"
"312","Eubacterium limosum KIST612","Metformin user 6 months (increase)","Medication","Strain"
"313","Fusobacterium necrophorum D12","Metformin user 6 months (increase)","Medication","Strain"
"314","Helicobacter mustelae 12198","Metformin user 6 months (increase)","Medication","Strain"
"315","Klebsiellaytoca KCTC 1686","Metformin user 6 months (increase)","Medication","Strain"
"316","Klebsiella pneumoniae 342","Metformin user 6 months (increase)","Medication","Strain"
"317","Lactobacillus acidophilus ATCC 4796","Metformin user 6 months (increase)","Medication","Strain"
"318","Lactobacillus amylolyticus DSM 11664","Metformin user 6 months (increase)","Medication","Strain"
"319","Lactobacillus brevisbsp.avesensis ATCC 27305","Metformin user 6 months (increase)","Medication","Strain"
"320","Lactobacillusrmentum CECT 5716","Metformin user 6 months (increase)","Medication","Strain"
"321","Lactobacillussseri JV-V03","Metformin user 6 months (increase)","Medication","Strain"
"322","Lactobacillus jensenii 1153","Metformin user 6 months (increase)","Medication","Strain"
"323","Lactobacillus johnsonii NCC 533","Metformin user 6 months (increase)","Medication","Strain"
"324","Lactobacillus ruminis SPM0211","Metformin user 6 months (increase)","Medication","Strain"
"325","Lactobacilluskeibsp.kei 23K","Metformin user 6 months (increase)","Medication","Strain"
"326","Lactobacillus ultunensis DSM 16047","Metformin user 6 months (increase)","Medication","Strain"
"327","Lactobacillus vaginalis ATCC 49540","Metformin user 6 months (increase)","Medication","Strain"
"328","Megasphaera elsdenii DSM 20460","Metformin user 6 months (increase)","Medication","Strain"
"329","Neisseria bacilliformis ATCC BAA-1200","Metformin user 6 months (increase)","Medication","Strain"
