"","member","name","category","classification"
"330","Neisseria elongatabsp.ycolytica ATCC 29315","Metformin user 6 months (increase)","Medication","Strain"
"331","Neisseria mucosa ATCC 25996","Metformin user 6 months (increase)","Medication","Strain"
"332","Olsenella uli DSM 7084","Metformin user 6 months (increase)","Medication","Strain"
"333","Pantoea ananatis LMG 5342","Metformin user 6 months (increase)","Medication","Strain"
"334","Pantoea. At-9b","Metformin user 6 months (increase)","Medication","Strain"
"335","Pectobacterium atrosepticum SCRI1043","Metformin user 6 months (increase)","Medication","Strain"
"336","Pectobacterium wasabiae WPP163","Metformin user 6 months (increase)","Medication","Strain"
"337","Peptoniphilus.al taxon 375r. F0436","Metformin user 6 months (increase)","Medication","Strain"
"338","Photorhabdus luminescensbsp. laumondii TTO1","Metformin user 6 months (increase)","Medication","Strain"
"339","Plautiaalimbiont","Metformin user 6 months (increase)","Medication","Strain"
"340","Propionibacterium acnes SK182B-JCVI","Metformin user 6 months (increase)","Medication","Strain"
"341","Providenciauartii ATCC 25827","Metformin user 6 months (increase)","Medication","Strain"
"342","Pseudomonas aeruginosa NCGM2.S1","Metformin user 6 months (increase)","Medication","Strain"
"343","Pseudomonasutzeri DSM 4166","Metformin user 6 months (increase)","Medication","Strain"
"344","Pseudomonasringae pv. morsprunorumr. M302280","Metformin user 6 months (increase)","Medication","Strain"
"345","Rahnella aquatilis CIP 78.65 = ATCC 33071","Metformin user 6 months (increase)","Medication","Strain"
"346","Rahnella. Y9602","Metformin user 6 months (increase)","Medication","Strain"
"347","Raphidiopsis brookii D9","Metformin user 6 months (increase)","Medication","Strain"
"348","Rheinheimera. A13L","Metformin user 6 months (increase)","Medication","Strain"
"349","Rothia mucilaginosa DY-18","Metformin user 6 months (increase)","Medication","Strain"
"350","Ruminococcus. 5_1_39BFAA","Metformin user 6 months (increase)","Medication","Strain"
"351","Ruminococcus. SR1/5","Metformin user 6 months (increase)","Medication","Strain"
"352","Salmonella bongori NCTC 12419","Metformin user 6 months (increase)","Medication","Strain"
"353","Salmonella entericabsp. arizonaerovar 62:z4,z23:-r. RSK2980","Metformin user 6 months (increase)","Medication","Strain"
"354","Salmonella entericabsp. entericarovar Dublinr. SD3246","Metformin user 6 months (increase)","Medication","Strain"
"355","Serratiaorifera DSM 4582","Metformin user 6 months (increase)","Medication","Strain"
"356","Serratia proteamaculans 568","Metformin user 6 months (increase)","Medication","Strain"
"357","Serratia. AS12","Metformin user 6 months (increase)","Medication","Strain"
"358","Shewanella. Ana-3","Metformin user 6 months (increase)","Medication","Strain"
"359","Slackia exigua ATCC 700122","Metformin user 6 months (increase)","Medication","Strain"
"360","Slackia heliotrinireducens DSM 20476","Metformin user 6 months (increase)","Medication","Strain"
"361","Staphylococcus aureusbsp. aureus MRSA177","Metformin user 6 months (increase)","Medication","Strain"
"362","Staphylococcus epidermidis W23144","Metformin user 6 months (increase)","Medication","Strain"
"363","Streptococcus parasanguinis ATCC 15912","Metformin user 6 months (increase)","Medication","Strain"
"364","Vibriornissii CIP 102972","Metformin user 6 months (increase)","Medication","Strain"
"365","Weissellabaria KACC 11862","Metformin user 6 months (increase)","Medication","Strain"
"366","Xanthomonasmpestris pv. vesicatoriar. 85-10","Metformin user 6 months (increase)","Medication","Strain"
"367","Xenorhabdus bovienii SS-2004","Metformin user 6 months (increase)","Medication","Strain"
"368","Xenorhabdus nematophila ATCC 19061","Metformin user 6 months (increase)","Medication","Strain"
"369","Yersinia enterocoliticabsp. enterocolitica 8081","Metformin user 6 months (increase)","Medication","Strain"
"370","Agrobacterium tumefaciens F2","Metformin user 6 months (decrease)","Medication","Strain"
"371","Alkaliphilus metalliredigens QYMF","Metformin user 6 months (decrease)","Medication","Strain"
"372","Alkaliphilusemlandii OhILAs","Metformin user 6 months (decrease)","Medication","Strain"
"373","Bacteroidesprophilus DSM 18228 = JCM 13818","Metformin user 6 months (decrease)","Medication","Strain"
"374","Burkholderia mallei ATCC 23344","Metformin user 6 months (decrease)","Medication","Strain"
"375","Burkholderia vietnamiensis G4","Metformin user 6 months (decrease)","Medication","Strain"
"376","Campylobacteracilis RM3268","Metformin user 6 months (decrease)","Medication","Strain"
"377","Campylobacter hominis ATCC BAA-381","Metformin user 6 months (decrease)","Medication","Strain"
"378","Clostridium bartlettii DSM 16795","Metformin user 6 months (decrease)","Medication","Strain"
"379","Clostridium beijerinckii NCIMB 8052","Metformin user 6 months (decrease)","Medication","Strain"
"380","Clostridium botulinum A3r. Loch Maree","Metformin user 6 months (decrease)","Medication","Strain"
"381","Clostridium botulinum BKT015925","Metformin user 6 months (decrease)","Medication","Strain"
"382","Clostridium botulinum Cr. Eklund","Metformin user 6 months (decrease)","Medication","Strain"
"383","Clostridium botulinum Dr. 1873","Metformin user 6 months (decrease)","Medication","Strain"
"384","Clostridium botulinum E1r. 'BoNT E Beluga'","Metformin user 6 months (decrease)","Medication","Strain"
"385","Clostridium butyricum E4r. BoNT E BL5262","Metformin user 6 months (decrease)","Medication","Strain"
"386","Clostridiumrboxidivorans P7","Metformin user 6 months (decrease)","Medication","Strain"
"387","Clostridium hiranonis DSM 13275","Metformin user 6 months (decrease)","Medication","Strain"
"388","Clostridium novyi NT","Metformin user 6 months (decrease)","Medication","Strain"
"389","Clostridium perfringens CPEr. F4969","Metformin user 6 months (decrease)","Medication","Strain"
"390","Clostridium perfringens Er. JGS1987","Metformin user 6 months (decrease)","Medication","Strain"
"391","Clostridiumicklandii","Metformin user 6 months (decrease)","Medication","Strain"
"392","Clostridium. 7_2_43FAA","Metformin user 6 months (decrease)","Medication","Strain"
"393","Deferribacter desulfuricans SSM1","Metformin user 6 months (decrease)","Medication","Strain"
"394","Faecalibacterium. prausnitzii KLE1255","Metformin user 6 months (decrease)","Medication","Strain"
"395","Fusobacterium nucleatumbsp. polymorphum ATCC 10953","Metformin user 6 months (decrease)","Medication","Strain"
"396","Fusobacterium nucleatumbsp. vincentii 4_1_13","Metformin user 6 months (decrease)","Medication","Strain"
"397","Granulicatella elegans ATCC 700633","Metformin user 6 months (decrease)","Medication","Strain"
"398","Hippea maritima DSM 10411","Metformin user 6 months (decrease)","Medication","Strain"
"399","Lactococcusrvieae Lg2","Metformin user 6 months (decrease)","Medication","Strain"
"400","Listeriaayi DSM 20601","Metformin user 6 months (decrease)","Medication","Strain"
"401","Listeriaeligeri FSL N1-067","Metformin user 6 months (decrease)","Medication","Strain"
"402","Peptostreptococcusomatis DSM 17678","Metformin user 6 months (decrease)","Medication","Strain"
"403","Porphyromonas uenonis 60-3","Metformin user 6 months (decrease)","Medication","Strain"
"404","Prevotellais C735","Metformin user 6 months (decrease)","Medication","Strain"
"405","Pseudoflavonifractorpillosus ATCC 29799","Metformin user 6 months (decrease)","Medication","Strain"
"406","Pseudogulbenkiania. NH8B","Metformin user 6 months (decrease)","Medication","Strain"
"407","Ruminococcusavefaciens FD-1","Metformin user 6 months (decrease)","Medication","Strain"
"408","Shewanellaigidimarina NCIMB 400","Metformin user 6 months (decrease)","Medication","Strain"
"409","Shewanella putrefaciens 200","Metformin user 6 months (decrease)","Medication","Strain"
"410","Streptococcus dysgalactiaebsp. dysgalactiae ATCC 27957","Metformin user 6 months (decrease)","Medication","Strain"
"411","Streptococcus infantariusbsp. infantarius CJ18","Metformin user 6 months (decrease)","Medication","Strain"
"412","Streptococcus thermophilus JIM 8232","Metformin user 6 months (decrease)","Medication","Strain"
"413","Veillonella dispar ATCC 17748","Metformin user 6 months (decrease)","Medication","Strain"
"414","Veillonella. 6_1_27","Metformin user 6 months (decrease)","Medication","Strain"
"415","Veillonella.al taxon 158r. F0412","Metformin user 6 months (decrease)","Medication","Strain"
"416","Eubacterium ramulus","Milk buttermilk","Diet Signature","Species"
"417","Streptococcus thermophilus","Milk drinks adjusted","Diet Signature","Species"
"418","Bacteroides eggerthii","Muesli","Diet Signature","Species"
"419","Lactobacillus delbrueckii","Muesli","Diet Signature","Species"
"420","Lachnospiraceae bacterium 8 1 57FAA","Muesli","Diet Signature","Species"
"421","Veillonella parvula","Muesli","Diet Signature","Species"
"422","Haemophilus parainfluenzae","Muesli","Diet Signature","Species"
"423","Clostridium leptum","Non-alcohol drinks","Diet Signature","Species"
"424","Eubacterium eligens","Non-alcohol drinks","Diet Signature","Species"
"425","Roseburia hominis","Non-alcohol drinks","Diet Signature","Species"
"426","Parabacteroidesldsteinii","Nonsteroidal anti-inflammatory drug","Medication","Species"
"427","Eubacterium eligens","Nuts","Diet Signature","Species"
"428","Roseburia hominis","Nuts","Diet Signature","Species"
"429","Roseburia hominis","Nuts adjusted","Diet Signature","Species"
"430","Alistipes AP11","Opiate","Medication","Species"
"431","Roseburia inulinivorans","Opiate","Medication","Species"
"432","Clostridium bartlettii","Oral anti-diabetics","Medication","Species"
"433","Peptostreptococcaceae noname unclassified","Oral anti-diabetics","Medication","Species"
"434","Escherichia unclassified","Oral anti-diabetics","Medication","Species"
"435","Veillonella parvula","Oraleroid","Medication","Species"
"436","Rothia mucilaginosa","Oralntraceptive","Medication","Species"
"437","Rothia mucilaginosa","Oralntraceptive adjusted","Medication","Species"
"438","Bifidobacterium dentium","Paracetamol","Medication","Species"
"439","Anaerostipes hadrus","Pasta","Diet Signature","Species"
"440","Bifidobacterium catenulatum","Pastry","Diet Signature","Species"
"441","Streptococcus mutans","Pastry","Diet Signature","Species"
"442","Ruminococcus torques","Pastry","Diet Signature","Species"
"443","Ruminococcus torques","Pastry adjusted","Diet Signature","Species"
"444","Bifidobacterium adolescentis","Plant protein","Diet Signature","Species"
"445","Bifidobacteriumtenulatum","Plant protein","Diet Signature","Species"
"446","Bifidobacterium pseudocatenulatum","Plant protein","Diet Signature","Species"
"447","Eggerthella unclassified","Plant protein","Diet Signature","Species"
"448","Lactobacilluskei","Plant protein","Diet Signature","Species"
"449","Streptococcusnguinis","Plant protein","Diet Signature","Species"
"450","Ruminococcus torques","Plant protein","Diet Signature","Species"
"451","C2likevirus unclassified","Platelet aggregation inhibitor adjusted","Medication","Species"
"452","Streptococcus anginosus","Platelet CC aggregation inhibitor","Medication","Species"
"453","Streptococcus parasanguinis","Platelet CC aggregation inhibitor","Medication","Species"
"454","C2likevirus unclassified","Platelet CC aggregation inhibitor","Medication","Species"
"455","Rothia mucilaginosa","PPI (Proton pump inhibitors)","Medication","Species"
"456","Bifidobacterium dentium","PPI (Proton pump inhibitors)","Medication","Species"
"457","Streptococcus anginosus","PPI (Proton pump inhibitors)","Medication","Species"
"458","Streptococcus mutans","PPI (Proton pump inhibitors)","Medication","Species"
"459","Streptococcus parasanguinis","PPI (Proton pump inhibitors)","Medication","Species"
"460","Streptococcuslivarius","PPI (Proton pump inhibitors)","Medication","Species"
"461","Streptococcusnguinis","PPI (Proton pump inhibitors)","Medication","Species"
"462","Streptococcus vestibularis","PPI (Proton pump inhibitors)","Medication","Species"
"463","Dorea longicatena","PPI (Proton pump inhibitors)","Medication","Species"
"464","Veillonella parvula","PPI (Proton pump inhibitors)","Medication","Species"
"465","Veillonella unclassified","PPI (Proton pump inhibitors)","Medication","Species"
"466","Haemophilus parainfluenzae","PPI (Proton pump inhibitors)","Medication","Species"
"467","Streptococcus parasanguinis","PPI (Proton pump inhibitors) adjusted","Medication","Species"
"468","Streptococcuslivarius","PPI (Proton pump inhibitors) adjusted","Medication","Species"
"469","Streptococcus mutans","PPI (Proton pump inhibitors) adjusted","Medication","Species"
"470","Rothia mucilaginosa","PPI (Proton pump inhibitors) adjusted","Medication","Species"
"471","Streptococcus vestibularis","PPI (Proton pump inhibitors) adjusted","Medication","Species"
"472","Streptococcusnguinis","PPI (Proton pump inhibitors) adjusted","Medication","Species"
"473","Bifidobacterium dentium","PPI (Proton pump inhibitors) adjusted","Medication","Species"
"474","Streptococcus anginosus","PPI (Proton pump inhibitors) adjusted","Medication","Species"
"475","Veillonella parvula","PPI (Proton pump inhibitors) adjusted","Medication","Species"
"476","Veillonella unclassified","PPI (Proton pump inhibitors) adjusted","Medication","Species"
"477","Roseburia hominis","Protein-rich diet","Diet Signature","Species"
"478","Blautia","Recent Antibiotic Use (<6 months) (Finland)","Medication","Genus"
"479","Dorea","Recent Antibiotic Use (<6 months) (Finland)","Medication","Genus"
"480","Dialister","Recent Antibiotic Use (<6 months) (Finland)","Medication","Genus"
"481","Megamonas","Recent Antibiotic Use (<6 months) (Finland)","Medication","Genus"
"482","Bacteroidesnegoldii","Red wine","Diet Signature","Species"
"483","Lactococcus lactis","Red wine","Diet Signature","Species"
"484","Clostridium leptum","Red wine","Diet Signature","Species"
"485","Eubacterium eligens","Red wine","Diet Signature","Species"
"486","Faecalibacterium prausnitzii","Red wine","Diet Signature","Species"
"487","Ruminococcus bromii","Resistantarch type 2","Diet Signature","Species"
"488","Eubacterium rectale","Resistantarch type 2","Diet Signature","Species"
"489","Bifidobacterium adolescentis","Resistantarch type 4","Diet Signature","Species"
"490","Parabacteroides distasonis","Resistantarch type 4","Diet Signature","Species"
"491","Clostridialesostridioforme","Resistantarch type 4","Diet Signature","Species"
"492","Clostridiales","Resistantarch type 4","Diet Signature","Species"
"493","Eubacterium rectale","Rice","Diet Signature","Species"
"494","Clostridium bartlettii","Rice","Diet Signature","Species"
"495","Roseburia hominis","Savoury snacks","Diet Signature","Species"
"496","C2likevirus unclassified","Savoury snacks","Diet Signature","Species"
"497","Roseburia hominis","Soda","Diet Signature","Species"
"498","Ruminococcus lactaris","Soda","Diet Signature","Species"
"499","Roseburia hominis","Soda with sugar","Diet Signature","Species"
"500","Streptococcus parasanguinis","Statin","Medication","Species"
"501","Streptococcus vestibularis","Statin","Medication","Species"
"502","Clostridium bolteae","Statin","Medication","Species"
"503","Eubacterium ramulus","Statin","Medication","Species"
"504","Ruminococcus torques","Statin","Medication","Species"
"505","Coprococcusmes","Statin","Medication","Species"
"506","Dorearmicigenerans","Statin","Medication","Species"
"507","Dorea longicatena","Statin","Medication","Species"
"508","Ruminococcaceae bacterium D16","Statin","Medication","Species"
"509","Ruminococcus lactaris","Statin","Medication","Species"
"510","Coprobacillus unclassified","Statin","Medication","Species"
"511","C2likevirus unclassified","Steroid noseray","Medication","Species"
"512","Streptococcuslivarius","Sugary sweets","Diet Signature","Species"
"513","Roseburia unclassified","Tea","Diet Signature","Species"
"514","Streptococcusnguinis","Tea adjusted","Diet Signature","Species"
"515","Streptococcus mutans","Thiazide diuretic","Medication","Species"
"516","Enterococcus","Treatment with Cyclophosphamide","Medication","Genus"
"517","Lactobacillus","Treatment with Cyclophosphamide","Medication","Genus"
"518","ClostridiumXIVa","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins, increase)","Medication","Mixed"
"519","Clostridiumsensustricto","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins, increase)","Medication","Mixed"
"520","Clostridiaceae","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins, increase)","Medication","Mixed"
"521","Coriobacteriaceae","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins, increase)","Medication","Mixed"
"522","Brucellaceae","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins, increase)","Medication","Mixed"
"523","Ochrobactrum","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins, increase)","Medication","Mixed"
"524","Anaeroplasmataceae","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins, decrease)","Medication","Mixed"
"525","Anaeroplasma","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins, decrease)","Medication","Mixed"
"526","Butyricimonas","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins, decrease)","Medication","Mixed"
"527","Bifidobacterium","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins, decrease)","Medication","Mixed"
"528","Bifidobacteriaceae","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins, decrease)","Medication","Mixed"
"529","Parabacteroides","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins, decrease)","Medication","Mixed"
"530","ClostridiumXIVa","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, increase)","Medication","Mixed"
"531","Barnesiella","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, increase)","Medication","Mixed"
"532","Akkermansia","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, increase)","Medication","Mixed"
"533","Verrucomicrobiaceae","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, increase)","Medication","Mixed"
"534","Prevotella","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, increase)","Medication","Mixed"
"535","Gemmiger","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, increase)","Medication","Mixed"
"536","Deferribbacteraceae","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, increase)","Medication","Mixed"
"537","Mucispirillum","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, increase)","Medication","Mixed"
"538","Intestinimonas","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, increase)","Medication","Mixed"
"539","Vampirovibrio","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, increase)","Medication","Mixed"
"540","Bdellovibrionaceae","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, increase)","Medication","Mixed"
"541","Rhodospirillaceae","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, increase)","Medication","Mixed"
"542","Rikenella","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, increase)","Medication","Mixed"
"543","Moraxellaceae","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, decrease)","Medication","Mixed"
"544","Acinetobacter","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, decrease)","Medication","Mixed"
"545","Roseburia","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, decrease)","Medication","Mixed"
"546","Saccharibacteria_genera_incertae_sedis","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, decrease)","Medication","Mixed"
"547","Methylobacteriaceae","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, decrease)","Medication","Mixed"
"548","Methylobacterium","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, decrease)","Medication","Mixed"
"549","Enterorhabdus","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, decrease)","Medication","Mixed"
"550","Parabacteroides","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, decrease)","Medication","Mixed"
"551","Rikinellaceae","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, decrease)","Medication","Mixed"
"552","Alistipes","Treatment with Prebiotics (GOS plus FOS, inulin and anthocyanins) and Probiotics (Bifidobacterium lactis HN019 and Lactobacillus acidophilus NCFM, decrease)","Medication","Mixed"
"553","Bifidobacteria","Treatment with Prebiotics (trans-galactooligosaccharide) in IBS patients","Medication","Mixed"
"554","Eubacterium rectale","Treatment with Prebiotics (trans-galactooligosaccharide) in IBS patients","Medication","Mixed"
"555","Clostridium hystolyticum.","Treatment with Prebiotics (trans-galactooligosaccharide) in IBS patients","Medication","Mixed"
"556","Prevotella","Treatment with Prebiotics (trans-galactooligosaccharide) in IBS patients","Medication","Mixed"
"557","Lachnospira","Treatment with Prebiotics (short-chain galactooligosaccharides) in lactose Intolerant individuals (decreased)","Medication","Genus"
"558","Anaerotruncus","Treatment with Prebiotics (short-chain galactooligosaccharides) in lactose Intolerant individuals (decreased)","Medication","Genus"
"559","Dialister","Treatment with Prebiotics (short-chain galactooligosaccharides) in lactose Intolerant individuals (decreased)","Medication","Genus"
"560","Ruminococcus","Treatment with Prebiotics (short-chain galactooligosaccharides) in lactose Intolerant individuals (decreased)","Medication","Genus"
"561","Bifidobacteraceae","Treatment with Prebiotics (short-chain galactooligosaccharides) in lactose Intolerant individuals (increased)","Medication","Mixed"
"562","Bifidobacterium","Treatment with Prebiotics (short-chain galactooligosaccharides) in lactose Intolerant individuals (increased)","Medication","Mixed"
"563","Lactobacillus","Treatment with Prebiotics (short-chain galactooligosaccharides) in lactose Intolerant individuals (increased)","Medication","Mixed"
"564","Faecalibacterium","Treatment with Prebiotics (short-chain galactooligosaccharides) in lactose Intolerant individuals (increased)","Medication","Mixed"
"565","Roseburia","Treatment with Prebiotics (short-chain galactooligosaccharides) in lactose Intolerant individuals (increased)","Medication","Mixed"
"566","Lachnospiraceae","Treatment with Prebiotics (short-chain galactooligosaccharides) in lactose Intolerant individuals (increased)","Medication","Mixed"
"567","Christensenellaceae","Treatment with Prebiotics (short-chain galactooligosaccharides) in lactose Intolerant individuals (increased)","Medication","Mixed"
"568","Saccharomces boulardii","Treatment with probiotic Saccharomyces boulardii in Crohn's disease patients","Medication","Species"
"569","Lactobacillus rhamnosus GG","Treatment with probiotics Lactobacillus rhamnosus GG, Lactobacillus rhamnosus LC705, Bifidobacterium breve Bb99, and Propionibacteriumeudenreichiip.ermanii JS and galacto-oligosaccharides","Medication","Mixed"
"570","Lactobacillus rhamnosus LC705","Treatment with probiotics Lactobacillus rhamnosus GG, Lactobacillus rhamnosus LC705, Bifidobacterium breve Bb99, and Propionibacteriumeudenreichiip.ermanii JS and galacto-oligosaccharides","Medication","Mixed"
"571","Propionibacteriumeudenreichii JS","Treatment with probiotics Lactobacillus rhamnosus GG, Lactobacillus rhamnosus LC705, Bifidobacterium breve Bb99, and Propionibacteriumeudenreichiip.ermanii JS and galacto-oligosaccharides","Medication","Mixed"
"572","Bifidobacterium","Treatment with probiotics Lactobacillus rhamnosus GG, Lactobacillus rhamnosus LC705, Bifidobacterium breve Bb99, and Propionibacteriumeudenreichiip.ermanii JS and galacto-oligosaccharides","Medication","Mixed"
"573","Lactobacilli","Treatment with probiotics Lactobacillus rhamnosus GG, Lactobacillus rhamnosus LC705, Bifidobacterium breve Bb99, and Propionibacteriumeudenreichiip.ermanii JS and galacto-oligosaccharides","Medication","Mixed"
"574","Bacteroides dorei","Tricyclic antidepressant","Medication","Species"
"575","Eubacterium hallii","Tricyclic antidepressant","Medication","Species"
"576","Coprococcus eutactus","Tricyclic antidepressant","Medication","Species"
"577","Eubacteriumlindroides","Triptans","Medication","Species"
"578","Eubacterium eligens","Vegetables","Diet Signature","Species"
"579","Veillonella unclassified","Vegetables","Diet Signature","Species"
"580","Haemophilus parainfluenzae","Vegetables","Diet Signature","Species"
"581","Eubacterium eligens","Vegetables adjusted","Diet Signature","Species"
"582","Anaerotruncus unclassified","Vegetables adjusted","Diet Signature","Species"
"583","Streptococcus parasanguinis","Vegetarian","Diet Signature","Species"
"584","Streptococcusnguinis","Vegetarian","Diet Signature","Species"
"585","Streptococcus vestibularis","Vegetarian","Diet Signature","Species"
"586","Bacteroides plebeius","Vitamin K antagonist","Medication","Species"
"587","Alistipes unclassified","Weight-related diet","Diet Signature","Species"
"588","Lactobacillus delbrueckii","Yoghurt milk based puddings","Diet Signature","Species"
"589","Streptococcus thermophilus","Yoghurt milk based puddings","Diet Signature","Species"
"590","Eubacterium ventriosum","Yoghurt milk based puddings","Diet Signature","Species"
"591","Streptococcus thermophilus","Yoghurt milk based puddings adjusted","Diet Signature","Species"
"592","Lactobacillus delbrueckii","Yoghurt milk based puddings adjusted","Diet Signature","Species"
